Epoch 318: Loss: 0.000206, Rec Loss: 0.000206, FC Loss: 0.000000
Epoch 319: Loss: 0.000205, Rec Loss: 0.000205, FC Loss: 0.000000
Epoch 320: Loss: 0.000217, Rec Loss: 0.000217, FC Loss: 0.000000
Epoch 321: Loss: 0.000233, Rec Loss: 0.000233, FC Loss: 0.000000
Epoch 322: Loss: 0.000215, Rec Loss: 0.000214, FC Loss: 0.000000
Epoch 323: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 324: Loss: 0.000211, Rec Loss: 0.000210, FC Loss: 0.000000
Epoch 325: Loss: 0.000212, Rec Loss: 0.000211, FC Loss: 0.000000
Epoch 326: Loss: 0.000234, Rec Loss: 0.000234, FC Loss: 0.000000
Epoch 327: Loss: 0.000212, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 328: Loss: 0.000204, Rec Loss: 0.000204, FC Loss: 0.000000
Epoch 329: Loss: 0.000221, Rec Loss: 0.000220, FC Loss: 0.000000
Epoch 330: Loss: 0.000205, Rec Loss: 0.000205, FC Loss: 0.000000
Epoch 331: Loss: 0.000214, Rec Loss: 0.000214, FC Loss: 0.000000
Epoch 332: Loss: 0.000207, Rec Loss: 0.000207, FC Loss: 0.000000
